system:index,Fecha,.geo
11,1984-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1985-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1985-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1985-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1986-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1986-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1986-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1986-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,1986-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,1986-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,1986-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,1986-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1986-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1986-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,1986-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,1986-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1987-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,1987-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,1987-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,1987-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,1987-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,1987-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,1988-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,1988-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,1988-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,1988-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,1988-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,1988-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,1988-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,1988-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,1988-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,1988-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,1988-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,1988-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,1989-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,1989-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,1989-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,1989-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,1989-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,1989-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,1989-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,1989-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,1989-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,1989-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,1989-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,1989-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,1990-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,1990-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,1990-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,1990-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,1990-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,1990-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,1990-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,1990-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,1990-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,1990-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,1990-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,1990-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,1991-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,1991-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,1991-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,1991-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,1991-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,1991-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,1991-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,1991-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,1991-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,1991-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,1991-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,1991-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,1992-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,1992-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,1992-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,1992-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,1992-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,1992-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,1992-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,1992-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,1992-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,1992-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,1993-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,1993-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,1993-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,1993-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,1993-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,1993-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,1993-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,1993-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,1993-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,1993-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,1993-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,1993-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,1994-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,1994-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,1994-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,1994-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,1994-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,1994-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,1994-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,1994-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,1994-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,1995-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,1995-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,1995-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,1995-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,1995-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,1995-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,1995-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,1995-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,1995-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,1995-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,1996-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,1996-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,1996-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,1996-04-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,1996-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,1996-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,1996-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,1996-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,1996-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,1996-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,1996-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,1996-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,1997-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,1997-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,1997-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,1997-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,1997-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,1997-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,1997-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,1997-11-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,1998-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,1998-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,1998-05-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,1998-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,1998-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,1998-08-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,1998-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
