system:index,date,.geo
0,1984-12-24,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,1985-07-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,1986-01-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,1986-02-13,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1986-03-17,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,1986-04-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,1986-05-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1986-06-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1986-07-23,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1986-07-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1986-08-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,1986-08-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,1986-09-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1986-10-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,1986-11-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1986-11-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1986-11-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1986-11-28,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,1986-12-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1986-12-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,1987-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1987-01-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1987-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1987-02-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1987-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1987-03-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,1987-11-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,1987-11-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,1987-11-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,1988-01-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,1988-01-18,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,1988-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,1988-03-29,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,1988-04-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,1988-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,1988-04-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,1988-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,1988-05-16,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,1988-05-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,1988-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,1988-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,1988-06-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,1988-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,1988-08-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,1988-08-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
