"date","year","month","day","4535002"
1979-01-01,"1979","01","01",152.89
1979-02-01,"1979","02","01",129.439
1979-03-01,"1979","03","01",119.421
1979-04-01,"1979","04","01",83.211
1979-05-01,"1979","05","01",63.985
1979-06-01,"1979","06","01",48.679
1979-07-01,"1979","07","01",53.576
1979-08-01,"1979","08","01",66.431
1979-09-01,"1979","09","01",78.785
1979-10-01,"1979","10","01",122.977
1979-11-01,"1979","11","01",141.353
1979-12-01,"1979","12","01",159.484
1980-01-01,"1980","01","01",153.567
1980-02-01,"1980","02","01",130.015
1980-03-01,"1980","03","01",120.363
1980-04-01,"1980","04","01",73.032
1980-05-01,"1980","05","01",57.431
1980-06-01,"1980","06","01",46.235
1980-07-01,"1980","07","01",46.333
1980-08-01,"1980","08","01",64.401
1980-09-01,"1980","09","01",81.26
1980-10-01,"1980","10","01",115.782
1980-11-01,"1980","11","01",142.554
1980-12-01,"1980","12","01",158.389
1981-01-01,"1981","01","01",156.418
1981-02-01,"1981","02","01",128.604
1981-03-01,"1981","03","01",122.532
1981-04-01,"1981","04","01",86.418
1981-05-01,"1981","05","01",57.194
1981-06-01,"1981","06","01",46.374
1981-07-01,"1981","07","01",49.936
1981-08-01,"1981","08","01",63.776
1981-09-01,"1981","09","01",88.749
1981-10-01,"1981","10","01",111.897
1981-11-01,"1981","11","01",142.953
1981-12-01,"1981","12","01",162.97
1982-01-01,"1982","01","01",154.048
1982-02-01,"1982","02","01",127.771
1982-03-01,"1982","03","01",119.929
1982-04-01,"1982","04","01",86.659
1982-05-01,"1982","05","01",56.948
1982-06-01,"1982","06","01",38.233
1982-07-01,"1982","07","01",44.129
1982-08-01,"1982","08","01",62.769
1982-09-01,"1982","09","01",69.74
1982-10-01,"1982","10","01",115.469
1982-11-01,"1982","11","01",142.806
1982-12-01,"1982","12","01",165.561
1983-01-01,"1983","01","01",161.736
1983-02-01,"1983","02","01",135.352
1983-03-01,"1983","03","01",122.112
1983-04-01,"1983","04","01",84.239
1983-05-01,"1983","05","01",54.101
1983-06-01,"1983","06","01",39.15
1983-07-01,"1983","07","01",41.73
1983-08-01,"1983","08","01",53.855
1983-09-01,"1983","09","01",70.437
1983-10-01,"1983","10","01",118.708
1983-11-01,"1983","11","01",143.513
1983-12-01,"1983","12","01",158.424
1984-01-01,"1984","01","01",153.035
1984-02-01,"1984","02","01",132.294
1984-03-01,"1984","03","01",114.494
1984-04-01,"1984","04","01",83.397
1984-05-01,"1984","05","01",53.663
1984-06-01,"1984","06","01",38.119
1984-07-01,"1984","07","01",42.318
1984-08-01,"1984","08","01",57.843
1984-09-01,"1984","09","01",73.62
1984-10-01,"1984","10","01",116.823
1984-11-01,"1984","11","01",135.697
1984-12-01,"1984","12","01",160.734
1985-01-01,"1985","01","01",149.182
1985-02-01,"1985","02","01",130.346
1985-03-01,"1985","03","01",116.865
1985-04-01,"1985","04","01",84.801
1985-05-01,"1985","05","01",62.703
1985-06-01,"1985","06","01",49.597
1985-07-01,"1985","07","01",44.852
1985-08-01,"1985","08","01",60.3
1985-09-01,"1985","09","01",82.845
1985-10-01,"1985","10","01",111.286
1985-11-01,"1985","11","01",145.381
1985-12-01,"1985","12","01",158.843
1986-01-01,"1986","01","01",156.237
1986-02-01,"1986","02","01",126.607
1986-03-01,"1986","03","01",118.724
1986-04-01,"1986","04","01",83.997
1986-05-01,"1986","05","01",56.559
1986-06-01,"1986","06","01",42.345
1986-07-01,"1986","07","01",53.314
1986-08-01,"1986","08","01",58.836
1986-09-01,"1986","09","01",78.533
1986-10-01,"1986","10","01",114.087
1986-11-01,"1986","11","01",138.301
1986-12-01,"1986","12","01",166.956
1987-01-01,"1987","01","01",156.752
1987-02-01,"1987","02","01",131.306
1987-03-01,"1987","03","01",111.173
1987-04-01,"1987","04","01",85.976
1987-05-01,"1987","05","01",50.642
1987-06-01,"1987","06","01",47.597
1987-07-01,"1987","07","01",38.741
1987-08-01,"1987","08","01",54.984
1987-09-01,"1987","09","01",78.946
1987-10-01,"1987","10","01",111.529
1987-11-01,"1987","11","01",146.544
1987-12-01,"1987","12","01",163.623
1988-01-01,"1988","01","01",155.065
1988-02-01,"1988","02","01",133.395
1988-03-01,"1988","03","01",117.558
1988-04-01,"1988","04","01",84.174
1988-05-01,"1988","05","01",60.266
1988-06-01,"1988","06","01",47.512
1988-07-01,"1988","07","01",47.445
1988-08-01,"1988","08","01",63.77
1988-09-01,"1988","09","01",79.036
1988-10-01,"1988","10","01",122.872
1988-11-01,"1988","11","01",146.756
1988-12-01,"1988","12","01",154.342
1989-01-01,"1989","01","01",150.309
1989-02-01,"1989","02","01",129.405
